PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28,Hole29
Par,Wolf Hill,Normal Course,2023-05-08 11:45,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,,,
Patchwah,Wolf Hill,Normal Course,2023-05-08 11:45,52,-3,3,3,3,3,4,3,3,3,2,3,3,3,2,2,3,4,2,3,,,,,,,,,,,
Cjtheguardian,Wolf Hill,Normal Course,2023-05-08 11:45,55,0,2,2,2,3,4,3,4,3,3,3,4,3,3,3,3,4,2,4,,,,,,,,,,,
Par,Wolf Hill,Normal Course,2023-05-08 10:40,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,,,
Patchwah,Wolf Hill,Normal Course,2023-05-08 10:40,53,-2,3,3,2,3,4,2,3,3,3,3,3,3,3,2,3,4,3,3,,,,,,,,,,,
Cjtheguardian,Wolf Hill,Normal Course,2023-05-08 10:40,50,-5,2,3,3,2,3,3,4,3,3,2,4,3,3,2,2,3,2,3,,,,,,,,,,,
Par,Sedgley Woods,19-27 Blue Outback Nine,2023-05-07 17:43,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Patchwah,Sedgley Woods,19-27 Blue Outback Nine,2023-05-07 17:43,28,1,2,3,3,3,3,4,4,2,4,,,,,,,,,,,,,,,,,,,,
Cjtheguardian,Sedgley Woods,19-27 Blue Outback Nine,2023-05-07 17:43,26,-1,3,2,3,3,2,3,3,3,4,,,,,,,,,,,,,,,,,,,,
Alex,Sedgley Woods,19-27 Blue Outback Nine,2023-05-07 17:43,32,5,4,3,4,3,3,3,3,4,5,,,,,,,,,,,,,,,,,,,,
Par,Sedgley Woods,10-18 Blue Back Nine,2023-05-07 17:10,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Patchwah,Sedgley Woods,10-18 Blue Back Nine,2023-05-07 17:10,28,1,3,3,4,4,3,4,2,2,3,,,,,,,,,,,,,,,,,,,,
Cjtheguardian,Sedgley Woods,10-18 Blue Back Nine,2023-05-07 17:10,28,1,3,3,4,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Alex,Sedgley Woods,10-18 Blue Back Nine,2023-05-07 17:10,29,2,2,3,6,4,2,4,2,3,3,,,,,,,,,,,,,,,,,,,,
Par,Sedgley Woods,1-9 Blue Front Nine,2023-05-07 16:38,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Patchwah,Sedgley Woods,1-9 Blue Front Nine,2023-05-07 16:38,27,0,3,3,3,4,3,2,2,4,3,,,,,,,,,,,,,,,,,,,,
Cjtheguardian,Sedgley Woods,1-9 Blue Front Nine,2023-05-07 16:38,29,2,2,4,2,4,5,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Alex,Sedgley Woods,1-9 Blue Front Nine,2023-05-07 16:38,31,4,6,4,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Par,Brandywine Creek State Park,Main,2023-05-07 12:41,55,,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Brandywine Creek State Park,Main,2023-05-07 12:41,57,2,4,3,3,4,5,3,2,3,3,4,3,3,4,3,2,3,2,3,,,,,,,,,,,
Cjtheguardian,Brandywine Creek State Park,Main,2023-05-07 12:41,55,0,4,2,2,3,4,3,3,3,3,4,3,4,3,2,3,3,3,3,,,,,,,,,,,
Alex,Brandywine Creek State Park,Main,2023-05-07 12:41,57,2,4,3,3,3,4,3,3,2,4,3,4,3,3,3,3,3,3,3,,,,,,,,,,,
Par,Bellevue State Park,Short Tees & Baskets,2023-05-07 10:53,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Bellevue State Park,Short Tees & Baskets,2023-05-07 10:53,51,-3,3,3,3,3,3,4,3,2,3,3,3,3,2,3,3,3,2,2,,,,,,,,,,,
Cjtheguardian,Bellevue State Park,Short Tees & Baskets,2023-05-07 10:53,57,3,3,3,3,3,2,3,2,3,3,7,3,3,4,3,3,3,3,3,,,,,,,,,,,
Alex,Bellevue State Park,Short Tees & Baskets,2023-05-07 10:53,58,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,5,,,,,,,,,,,
Par,Broken Chains,Classic,2023-05-06 18:06,58,,3,4,3,3,4,3,3,4,3,3,3,3,3,3,4,3,3,3,,,,,,,,,,,
Patchwah,Broken Chains,Classic,2023-05-06 18:06,57,-1,2,4,3,2,5,3,3,5,3,3,2,3,3,2,4,3,3,4,,,,,,,,,,,
Cjtheguardian,Broken Chains,Classic,2023-05-06 18:06,64,6,3,6,3,4,5,3,4,4,4,3,3,3,4,3,4,2,3,3,,,,,,,,,,,
Alex,Broken Chains,Classic,2023-05-06 18:06,69,11,3,5,4,3,4,3,2,5,6,3,4,6,4,3,4,4,3,3,,,,,,,,,,,
Par,Iron Hill,White to Gold,2023-05-06 15:01,68,,4,3,4,4,5,4,3,5,3,4,4,3,3,3,3,4,5,4,,,,,,,,,,,
Patchwah,Iron Hill,White to Gold,2023-05-06 15:01,78,10,4,2,5,4,7,4,3,5,3,5,5,5,4,3,4,4,6,5,,,,,,,,,,,
Cjtheguardian,Iron Hill,White to Gold,2023-05-06 15:01,80,12,5,3,5,3,6,7,4,5,4,5,4,4,4,3,3,4,5,6,,,,,,,,,,,
Alex,Iron Hill,White to Gold,2023-05-06 15:01,80,12,5,3,5,5,6,5,3,6,3,4,4,3,5,2,4,6,6,5,,,,,,,,,,,
Par,White Clay Creek State Park,Main,2023-05-06 12:10,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,White Clay Creek State Park,Main,2023-05-06 12:10,56,2,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,2,3,3,,,,,,,,,,,
Cjtheguardian,White Clay Creek State Park,Main,2023-05-06 12:10,55,1,3,3,5,3,2,3,3,3,3,4,3,3,3,3,3,2,4,2,,,,,,,,,,,
